"","area_resultado","programa","acao","sub_acao","quantificacao_meta","quantificacao_executada","relacao_fisica","relacao_fisica_agrupamento","valor_orcado","valor_empenhado","relacao_financeira","relacao_financeira_agrupamento","eficacia","programa_tipo"
"1",10,163,2860,8,1,1,1,"0.7 a 1.3",147500,1440,0.00976271186440678,"0.01 a 0.4",102.430549621582,"Associado"
"2",10,235,2535,5,40,40,1,"0.7 a 1.3",63000,39600,0.628571428571429,"0.4 a 0.7",1.59090912342072,"Sustentador"
"3",3,60,2567,1,0,0,-1,"Não há meta",55218235,45494748,0.823908044145199,"0.7 a 1.3",0,"Associado"
"4",6,144,2876,3,1,1,1,"0.7 a 1.3",90000,56587,0.628744444444444,"0.4 a 0.7",1.59047138690948,"Associado"
"5",10,123,2787,1,50,134,2.68,"Acima de 2.0",136536,0,0,"Não há execução",-1,"Associado"
"6",10,113,2351,1,200,268,1.34,"1.3 a 2.0",345844,14958,0.0432507141948393,"0.01 a 0.4",30.9821472167969,"Associado"
"7",5,86,2630,2,10,19,1.9,"1.3 a 2.0",9040,2975,0.329092920353982,"0.01 a 0.4",5.77344560623169,"Associado"
"8",3,60,2837,2,0,0,-1,"Não há meta",6800000,6677768,0.982024705882353,"0.7 a 1.3",0,"Associado"
"9",6,7,2900,1,0,0,-1,"Não há meta",5201420,4969467,0.955405831484479,"0.7 a 1.3",0,"Apoio Administrativo"
"10",9,59,2570,1,500,1093,2.186,"Acima de 2.0",6000,658,0.109666666666667,"0.01 a 0.4",19.9331321716309,"Associado"
"11",6,999,9999,1,0,0,-1,"Não há meta",5146630,0,0,"Não há execução",0,"Associado"
"12",10,101,2869,9,7500,8825,1.17666666666667,"0.7 a 1.3",56000,0,0,"Não há execução",-1,"Associado"
"13",8,227,2334,11,1,1,1,"0.7 a 1.3",1000,0,0,"Não há execução",-1,"Sustentador"
"14",7,225,1231,11,1,3.57,3.57,"Acima de 2.0",270000,751372,2.78285925925926,"Acima de 2.0",1.28285324573517,"Sustentador"
"15",6,15,2007,2,40,46,1.15,"0.7 a 1.3",1e+06,29358509,29.358509,"Acima de 2.0",0.039170928299427,"Associado"
"16",6,15,2779,1,0,0,-1,"Não há meta",1181700,1039230,0.879436405178979,"0.7 a 1.3",0,"Associado"
"17",6,141,2852,1,0,0,-1,"Não há meta",3570400,4482271,1.25539743446112,"0.7 a 1.3",0,"Associado"
"18",10,234,2403,17,20,20,1,"0.7 a 1.3",564920,515293,0.912152163138143,"0.7 a 1.3",1.09630835056305,"Sustentador"
"19",10,238,2866,11,1,1,1,"0.7 a 1.3",2000,0,0,"Não há execução",-1,"Sustentador"
"20",9,46,2537,3,285258,301550.73,1.05711576888291,"0.7 a 1.3",5090565,5461418,1.07285104895036,"0.7 a 1.3",0.985333263874054,"Associado"
"21",10,238,2869,8,10,18,1.8,"1.3 a 2.0",91000,0,0,"Não há execução",-1,"Sustentador"
"22",1,117,2895,3,0,0,-1,"Não há meta",106274420,105942419,0.996876002710718,"0.7 a 1.3",0,"Associado"
"23",2,207,2761,6,100,100,1,"0.7 a 1.3",10000,0,0,"Não há execução",-1,"Sustentador"
"24",10,120,2797,3,16000,55120,3.445,"Acima de 2.0",0,0,-1,"Não há meta",-1,"Associado"
"25",1,201,2896,1,0,0,-1,"Não há meta",71842422,13579794,0.189021940268105,"0.01 a 0.4",0,"Sustentador"
"26",10,101,2869,11,2,2,1,"0.7 a 1.3",52500,0,0,"Não há execução",-1,"Associado"
"27",6,26,3004,1,0,0,-1,"Não há meta",199500,266706,1.33687218045113,"1.3 a 2.0",0,"Associado"
"28",4,84,2035,2,0,0,-1,"Não há meta",26030000,6116763,0.234988974260469,"0.01 a 0.4",0,"Associado"
"29",1,117,2895,4,0,0,-1,"Não há meta",8850000,962953,0.108808248587571,"0.01 a 0.4",0,"Associado"
"30",5,218,2629,25,9,9,1,"0.7 a 1.3",10000,0,0,"Não há execução",-1,"Sustentador"
"31",10,127,2840,1,0,0,-1,"Não há meta",439961,451715,1.02671600437311,"0.7 a 1.3",0,"Associado"
"32",10,127,2697,2,50,150,3,"Acima de 2.0",10000,0,0,"Não há execução",-1,"Associado"
"33",7,226,1207,7,1954,2729,1.39662231320368,"1.3 a 2.0",3163863,5e+05,0.158034655735726,"0.01 a 0.4",8.83744335174561,"Sustentador"
"34",2,140,2080,3,0,0,-1,"Não há meta",45000,0,0,"Não há execução",0,"Associado"
"35",2,140,2888,2,23781,24011,1.0096715865607,"0.7 a 1.3",87984309,90204013,1.02522840748798,"0.7 a 1.3",0.984825968742371,"Associado"
"36",6,12,2874,1,12,12,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"37",1,114,2892,2,9300000,9950615,1.06995860215054,"0.7 a 1.3",374700000,302309873,0.806805105417667,"0.7 a 1.3",1.326167345047,"Associado"
"38",11,146,2838,1,0,0,-1,"Não há meta",4309600,4984748,1.15666140709115,"0.7 a 1.3",0,"Associado"
"39",2,207,2706,2,100,100,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"40",6,7,2808,1,0,0,-1,"Não há meta",5390464,6402759,1.18779366674186,"0.7 a 1.3",0,"Apoio Administrativo"
"41",6,85,2605,1,0,0,-1,"Não há meta",1173999,973826,0.829494744033002,"0.7 a 1.3",0,"Associado"
"42",10,163,2859,1,0,0,-1,"Não há meta",5232784,5106281,0.975824914615241,"0.7 a 1.3",0,"Associado"
"43",9,231,2564,5,2000,2163,1.0815,"0.7 a 1.3",8e+05,1150000,1.4375,"1.3 a 2.0",0.752347826957703,"Sustentador"
"44",10,235,2535,1,40,56,1.4,"1.3 a 2.0",1302500,278919,0.214141266794626,"0.01 a 0.4",6.5377402305603,"Sustentador"
"45",11,146,2338,2,70,87,1.24285714285714,"0.7 a 1.3",629000,170745,0.271454689984102,"0.01 a 0.4",4.57850646972656,"Associado"
"46",9,243,1307,1,0,0,-1,"Não há meta",389400,55431,0.142349768875193,"0.01 a 0.4",0,"Sustentador"
"47",10,113,2334,3,10,10,1,"0.7 a 1.3",495000,243677,0.492276767676768,"0.4 a 0.7",2.03137755393982,"Associado"
"48",6,26,3006,4,0,0,-1,"Não há meta",1304926,777853,0.596089739954603,"0.4 a 0.7",0,"Associado"
"49",9,243,2514,7,54,69,1.27777777777778,"0.7 a 1.3",5000,0,0,"Não há execução",-1,"Sustentador"
"50",6,7,2900,7,0,0,-1,"Não há meta",1921828,856842,0.445847391129695,"0.4 a 0.7",0,"Apoio Administrativo"
"51",6,12,2548,3,12,12,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"52",2,140,2334,3,1,1,1,"0.7 a 1.3",10000,9477,0.9477,"0.7 a 1.3",1.05518627166748,"Associado"
"53",9,233,1370,1,0,0,-1,"Não há meta",455362,441893,0.970421335113602,"0.7 a 1.3",0,"Sustentador"
"54",9,232,2855,6,1968,2532,1.28658536585366,"0.7 a 1.3",10000,0,0,"Não há execução",-1,"Sustentador"
"55",10,127,2900,1,0,0,-1,"Não há meta",110000,0,0,"Não há execução",0,"Associado"
"56",6,3,2011,1,0,0,-1,"Não há meta",730000,995165,1.3632397260274,"1.3 a 2.0",0,"Associado"
"57",6,7,2900,7,0,0,-1,"Não há meta",2493640,1761648,0.70645642514557,"0.7 a 1.3",0,"Apoio Administrativo"
"58",9,73,2581,2,5,5,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"59",9,57,2584,5,0,0,-1,"Não há meta",10499689,9852423,0.938353793145683,"0.7 a 1.3",0,"Associado"
"60",11,155,2375,6,90,127,1.41111111111111,"1.3 a 2.0",0,0,-1,"Não há meta",-1,"Associado"
"61",6,7,2783,2,0,0,-1,"Não há meta",4e+06,0,0,"Não há execução",0,"Apoio Administrativo"
"62",2,140,2041,2,4680,21005,4.48824786324786,"Acima de 2.0",188000,13928,0.0740851063829787,"0.01 a 0.4",60.5823249816895,"Associado"
"63",9,73,2817,3,10000,45537,4.5537,"Acima de 2.0",7194,3575,0.496941896024465,"0.4 a 0.7",9.16344547271729,"Associado"
"64",9,57,2584,7,0,0,-1,"Não há meta",7763091,7172753,0.923955805747994,"0.7 a 1.3",0,"Associado"
"65",1,30,2620,5,0,0,-1,"Não há meta",7850401,1540744,0.196263095350161,"0.01 a 0.4",0,"Associado"
"66",6,12,2874,8,12,12,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"67",10,132,2121,6,150000,165020,1.10013333333333,"0.7 a 1.3",1000,0,0,"Não há execução",-1,"Associado"
"68",10,236,2333,5,4,4,1,"0.7 a 1.3",108000,64718,0.599240740740741,"0.4 a 0.7",1.66877841949463,"Sustentador"
"69",2,207,2701,4,27,48,1.77777777777778,"1.3 a 2.0",553000,0,0,"Não há execução",-1,"Sustentador"
"70",9,57,2584,1,0,0,-1,"Não há meta",0,8000,-1,"Não há meta",0,"Associado"
"71",6,96,2005,1,0,0,-1,"Não há meta",1258300,1150915,0.91465866645474,"0.7 a 1.3",0,"Associado"
"72",1,204,2334,2,0,0,-1,"Não há meta",812562,232091,0.285628665874112,"0.01 a 0.4",0,"Sustentador"
"73",11,154,2369,1,120,177,1.475,"1.3 a 2.0",10300000,8774310,0.851874757281553,"0.7 a 1.3",1.73147511482239,"Associado"
"74",1,28,2829,3,80,96.6,1.2075,"0.7 a 1.3",4758500,4380664,0.920597667332142,"0.7 a 1.3",1.31164789199829,"Associado"
"75",6,85,2900,4,2000,3002,1.501,"1.3 a 2.0",10000,48333,4.8333,"Acima de 2.0",0.310553878545761,"Associado"
"76",7,226,1207,3,314,1134,3.61146496815287,"Acima de 2.0",72749549,2616000,0.0359589858075959,"0.01 a 0.4",100.432891845703,"Sustentador"
"77",6,88,3107,1,0,0,-1,"Não há meta",4433741,3260271,0.735331856326294,"0.7 a 1.3",0,"Associado"
"78",2,140,2046,6,106,106,1,"0.7 a 1.3",761666,440528,0.578374248029976,"0.4 a 0.7",1.72898435592651,"Associado"
"79",8,93,2334,20,7,16,2.28571428571429,"Acima de 2.0",10000,0,0,"Não há execução",-1,"Associado"
