"","area_resultado","programa","acao","sub_acao","quantificacao_meta","quantificacao_executada","relacao_fisica","relacao_fisica_agrupamento","valor_orcado","valor_empenhado","relacao_financeira","relacao_financeira_agrupamento","eficacia","programa_tipo","nome_uo","funcao","subfuncao","nome_programa","nome_acao","nome_sub_acao","nome_produto"
"1",10,163,2860,8,1,1,1,"0.7 a 1.3",147500,1440,0.00976271186440678,"0.01 a 0.4",102.430549621582,"Associado","FUNDO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE","Assistência Social","Assistência à Criança e ao Adolescente","Promoção e Proteção às Crianças e Adolescentes e suas Famílias","Ações para o Fortalecimento das Diretrizes do Estatuto da Criança e do Adolescente","Apoio às ações de fortalecimento para a participação de Crianças e Adolescentes","Evento realizado"
"2",10,235,2535,5,40,40,1,"0.7 a 1.3",63000,39600,0.628571428571429,"0.4 a 0.7",1.59090912342072,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE LAZER","Desporto e Lazer","Lazer","Programa de Atendimento ao Idoso","Programa Vida Ativa","Agenda Cultural e de passeios implantada para pessoa idosa institucionalizada em ILPI's conveniada com a PBH","Passeio realizado"
"3",3,60,2567,1,0,0,-1,"N�o h� meta",55218235,45494748,0.823908044145199,"0.7 a 1.3",0,"Associado","EMPRESA DE TRANSPORTES E TRÂNSITO DE BELO HORIZONTE","Transporte","Serviços Urbanos","Gestão da Mobilidade Urbana","Gestão da Política de Transporte Urbano e Trânsito","Gestão da Política de Transporte Urbano e Trânsito","Serviços Administrativos"
"4",6,144,2876,3,1,1,1,"0.7 a 1.3",90000,56587,0.628744444444444,"0.4 a 0.7",1.59047138690948,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE PLANEJAMENTO E GESTÃO","Administração","Planejamento e Orçamento","Apoio ao Planejamento e Gestão","Apoio ao Planejamento e Gestão","Monitoramento dos Objetivos do Milênio","Relatório publicado"
"5",10,123,2787,1,50,134,2.68,"Acima de 2.0",136536,0,0,"N�o h� execu��o",-1,"Associado","SECRETARIA MUNICIPAL  DE POLÍTICAS  SOCIAIS","Administração","Administração Geral","Gestão da Política Social","Planejamento e Monitoramento e Divulgação da Política Social","Produção de Estudos Técnicos e Diagnósticos Espaciais","Material cartográfico elaborado"
"6",10,113,2351,1,200,268,1.34,"1.3 a 2.0",345844,14958,0.0432507141948393,"0.01 a 0.4",30.9821472167969,"Associado","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL","Assistência Social","Assistência Comunitária","Gestão da Política de Assistência Social","Serviço de Informação e Informatização","Serviço Interno de Informação","Atendimento realizado"
"7",5,86,2630,2,10,19,1.9,"1.3 a 2.0",9040,2975,0.329092920353982,"0.01 a 0.4",5.77344560623169,"Associado","EMPRESA MUNICIPAL DE TURISMO DE BELO HORIZONTE S/A","Comércio e Serviços","Turismo","Fomento ao Turismo de Lazer, Eventos e Negócios","Fomento à Informação, Promoção Turística e Relacionamento Internacional","Ação de Comercialização e Marketing Turístico","Ação realizada"
"8",3,60,2837,2,0,0,-1,"N�o h� meta",6800000,6677768,0.982024705882353,"0.7 a 1.3",0,"Associado","FUNDO MUNICIPAL DE TRANSPORTES URBANOS","Transporte","Serviços Urbanos","Gestão da Mobilidade Urbana","Gerenciamento da Mobilidade Urbana Municipal","Manutenção das Estações do BRT/Move","Serviços Administrativos"
"9",6,7,2900,1,0,0,-1,"N�o h� meta",5201420,4969467,0.955405831484479,"0.7 a 1.3",0,"Apoio Administrativo","SECRETARIA DE ADMINISTRAÇÃO REGIONAL MUNICIPAL NORDESTE","Administração","Administração Geral","Apoio Administrativo e Financeiro","Serviços Administrativos e Financeiros","Serviços Administrativos e Financeiros","Serviços Administrativos"
"10",9,59,2570,1,500,1093,2.186,"Acima de 2.0",6000,658,0.109666666666667,"0.01 a 0.4",19.9331321716309,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE REGULAÇÃO URBANA","Urbanismo","Serviços Urbanos","Gerenciamento do Controle Urbano","Implementação do Programa Urbanístico e Parcelamento e Regularização de Edificações","Regularização de Edificações e Parcelamentos Irregulares","Imóvel regularizado"
